# source_url=https://www.sen.go.kr/www/website.jsp
# source_as_of=2026-08-10
# source_sha256=9f202202edc653b09b4debb5a0ff939cf9fcdc64dd58174b28f8d009bb1b7424
# normalized_sha256=47a2b2ceadca2a6240fa08088ad0655098409016a4345844a9f81683257078b8
# license_name=KOGL_TYPE_1_ATTRIBUTION
# attribution=Source: Seoul Metropolitan Office of Education (organization directory and 2026 civil-service handbook)
institution_id,official_name,institution_type,foundation_type,education_office,road_address,district,latitude,longitude
sen:headquarters,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,HEADQUARTERS,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc885\ub85c\uad6c \uc1a1\uc6d4\uae38 48,\uc885\ub85c\uad6c,,
sen:district-east,\ub3d9\ubd80\uad50\uc721\uc9c0\uc6d0\uccad,DISTRICT_OFFICE,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \ub3d9\ub300\ubb38\uad6c \uc804\ub18d\ub85c 168,\ub3d9\ub300\ubb38\uad6c,,
sen:district-west,\uc11c\ubd80\uad50\uc721\uc9c0\uc6d0\uccad,DISTRICT_OFFICE,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc11c\ub300\ubb38\uad6c \uc774\ud654\uc5ec\ub3002\uae38 15,\uc11c\ub300\ubb38\uad6c,,
sen:district-south,\ub0a8\ubd80\uad50\uc721\uc9c0\uc6d0\uccad,DISTRICT_OFFICE,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc601\ub4f1\ud3ec\uad6c \ubb38\ub798\ub85c 121,\uc601\ub4f1\ud3ec\uad6c,,
sen:district-north,\ubd81\ubd80\uad50\uc721\uc9c0\uc6d0\uccad,DISTRICT_OFFICE,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \ub3c4\ubd09\uad6c \ub178\ud574\ub85c69\uae38 14,\ub3c4\ubd09\uad6c,,
sen:district-central,\uc911\ubd80\uad50\uc721\uc9c0\uc6d0\uccad,DISTRICT_OFFICE,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc885\ub85c\uad6c \ub300\ud559\ub85c 10,\uc885\ub85c\uad6c,,
sen:district-gangdong-songpa,\uac15\ub3d9\uc1a1\ud30c\uad50\uc721\uc9c0\uc6d0\uccad,DISTRICT_OFFICE,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc1a1\ud30c\uad6c \uc7a0\uc2e4\ub85c 26,\uc1a1\ud30c\uad6c,,
sen:district-gangseo-yangcheon,\uac15\uc11c\uc591\ucc9c\uad50\uc721\uc9c0\uc6d0\uccad,DISTRICT_OFFICE,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc591\ucc9c\uad6c \uc6d4\uc815\ub85c 269,\uc591\ucc9c\uad6c,,
sen:district-gangnam-seocho,\uac15\ub0a8\uc11c\ucd08\uad50\uc721\uc9c0\uc6d0\uccad,DISTRICT_OFFICE,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uac15\ub0a8\uad6c \uc120\ub989\ub85c116\uae38 45,\uac15\ub0a8\uad6c,,
sen:district-dongjak-gwanak,\ub3d9\uc791\uad00\uc545\uad50\uc721\uc9c0\uc6d0\uccad,DISTRICT_OFFICE,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \ub3d9\uc791\uad6c \uc7a5\uc2b9\ubc30\uae30\ub85c10\uac00\uae38 35,\ub3d9\uc791\uad6c,,
